iter	Passed	Remaining
1478	34317	12089
1479	34354	12070
1480	34388	12050
1481	34438	12037
1482	34470	12016
1483	34476	11987
1484	34508	11967
1485	34541	11947
1486	34576	11928
1487	34609	11908
1488	34640	11888
1489	34672	11867
1490	34702	11846
1491	34733	11826
1492	34766	11806
1493	34803	11787
1494	34834	11766
1495	34865	11746
1496	34894	11724
1497	34923	11703
1498	34935	11676
1499	34965	11655
1500	34996	11634
1501	35047	11620
1502	35079	11599
1503	35110	11578
1504	35139	11557
1505	35171	11536
1506	35195	11513
1507	35225	11492
1508	35259	11472
1509	35289	11451
1510	35320	11430
1511	35336	11404
1512	35365	11383
1513	35386	11359
1514	35416	11337
1515	35447	11316
1516	35481	11297
1517	35512	11275
1518	35532	11251
1519	35562	11230
1520	35593	11209
1521	35624	11188
1522	35678	11174
1523	35711	11153
1524	35741	11132
1525	35771	11111
1526	35803	11090
1527	35835	11069
1528	35866	11048
1529	35896	11027
1530	35928	11006
1531	35960	10985
1532	35990	10963
1533	36020	10942
1534	36040	10917
1535	36071	10896
1536	36102	10875
1537	36135	10854
1538	36167	10833
1539	36198	10812
1540	36229	10791
1541	36259	10769
1542	36290	10748
1543	36321	10727
1544	36356	10706
1545	36386	10685
1546	36416	10663
1547	36447	10642
1548	36467	10617
1549	36496	10595
1550	36525	10573
1551	36555	10552
1552	36589	10531
1553	36621	10510
1554	36651	10488
1555	36681	10466
1556	36711	10445
1557	36741	10423
1558	36772	10401
1559	36807	10381
1560	36838	10360
1561	36868	10338
1562	36893	10315
1563	36923	10293
1564	36954	10271
1565	36985	10250
1566	37021	10229
1567	37052	10208
1568	37083	10186
1569	37113	10164
1570	37144	10143
1571	37174	10121
1572	37204	10099
1573	37237	10078
1574	37266	10056
1575	37296	10034
1576	37326	10012
1577	37355	9990
1578	37385	9967
1579	37416	9946
1580	37450	9925
1581	37481	9903
1582	37510	9881
1583	37540	9859
1584	37576	9838
1585	37607	9816
1586	37633	9793
1587	37665	9772
1588	37699	9751
1589	37725	9727
1590	37755	9705
1591	37785	9683
1592	37814	9661
1593	37845	9639
1594	37889	9620
1595	37925	9600
1596	37972	9582
1597	38008	9561
1598	38061	9545
1599	38105	9526
1600	38188	9517
1601	38222	9496
1602	38253	9474
1603	38284	9451
1604	38316	9429
1605	38350	9408
1606	38380	9386
1607	38410	9363
1608	38441	9341
1609	38472	9319
1610	38503	9297
1611	38564	9282
1612	38608	9263
1613	38653	9244
1614	38684	9222
1615	38717	9200
1616	38749	9178
1617	38781	9156
1618	38808	9132
1619	38838	9110
1620	38869	9087
1621	38901	9065
1622	38931	9043
1623	38962	9020
1624	38998	8999
1625	39031	8977
1626	39057	8954
1627	39107	8936
1628	39141	8914
1629	39159	8889
1630	39190	8866
1631	39205	8840
1632	39242	8819
1633	39276	8797
1634	39310	8775
1635	39341	8753
1636	39371	8730
1637	39404	8708
1638	39439	8686
1639	39455	8661
1640	39486	8638
1641	39517	8615
1642	39534	8590
1643	39564	8567
1644	39606	8547
1645	39642	8525
1646	39668	8502
1647	39697	8479
1648	39727	8456
1649	39757	8433
1650	39788	8410
1651	39818	8387
1652	39853	8366
1653	39885	8343
1654	39914	8320
1655	39945	8297
1656	39975	8274
1657	40005	8251
1658	40036	8229
1659	40053	8203
1660	40085	8181
1661	40116	8158
1662	40147	8135
